name,platform,metascore,userscore,developer,genre
Wylde Flowers,"

                                                        PC
                                                    
",85,"
tbd
","
Studio Drydock Pty Ltd ",SimulationAdventureGeneralVirtualVirtual Life
OlliOlli World: VOID Riders,"

                                                        PC
                                                    
",84,"
tbd
","
roll7 ",ActionPlatformer2D
Betrayal At Club Low,"

                                                        PC
                                                    
",84,"
tbd
","
Cosmo D Studios ",AdventurePoint-and-Click
Citizen Sleeper,"

                                                        Switch
                                                    
",83,"
tbd
","
Jump Over The Age ",Role-PlayingAction AdventureGeneralWestern-Style
The Excavation of Hob's Barrow,"

                                                        PC
                                                    
",83,"
tbd
","
Cloak and Dagger Games ",GeneralAdventurePoint-and-Click
Beacon Pines,"

                                                        PC
                                                    
",83,"
tbd
","
Hiding Spot ",AdventureGeneral
Islets,"

                                                        Switch
                                                    
",82,"
tbd
","
Kyle Thompson ",ActionPlatformerMetroidvania
Hatsune Miku: Project Diva MegaMix+,"

                                                        PC
                                                    
",82,"
tbd
","
Sega AM2 ",ActionRhythmMusic
Taiko no Tatsujin: Rhythm Festival,"

                                                        Switch
                                                    
",81,"
tbd
","
Bandai Namco Games ",ActionRhythmMusic
Penko Park,"

                                                        Switch
                                                    
",81,"
tbd
","
Ghostbutter ",Adventure3DFirst-Person
Mini Motorways,"

                                                        Switch
                                                    
",81,"
tbd
","
Dinosaur Polo Club ",StrategyGeneralManagementGovernment
Tentacular,"

                                                        PC
                                                    
",81,"
tbd
","
Firepunchd ",PuzzleActionGeneral
Dawn of the Monsters,"

                                                        Switch
                                                    
",81,"
tbd
","
13AM Games ",ActionBeat-'Em-UpFighting2D3D
Eyes in the Dark: The Curious Case of One Victoria Bloom,"

                                                        PC
                                                    
",81,"
tbd
","
Under the Stairs ",ActionPlatformer2D
Cursed to Golf,"

                                                        PC
                                                    
",80,"
tbd
","
Chuhai Labs ",SportsIndividualGolfArcade
The Sims 4: Werewolves,"

                                                        PC
                                                    
",80,"
tbd
","
Maxis ",SimulationVirtualVirtual Life
Cotton Fantasy,"

                                                        PlayStation 4
                                                    
",80,"
tbd
","
Success, Studio Saizensen ",ActionShooterShoot-'Em-UpHorizontal
Variable Barricade,"

                                                        Switch
                                                    
",79,"
tbd
","
Otomate ",AdventureVisual Novel
Capcom Arcade 2nd Stadium,"

                                                        Switch
                                                    
",79,"
tbd
","
Capcom ",MiscellaneousCompilation
South of the Circle,"

                                                        Xbox Series X
                                                    
",79,"
tbd
","
State of Play Games ",AdventureGeneral
Capcom Fighting Collection,"

                                                        PC
                                                    
",79,"
tbd
","
Capcom ",MiscellaneousCompilation
A Musical Story,"

                                                        Switch
                                                    
",79,"
tbd
","
Glee-Cheese Studio ",ActionRhythmMusic
Birushana: Rising Flower of Genpei,"

                                                        Switch
                                                    
",79,"
tbd
","
Otomate ",AdventureVisual Novel
Severed Steel,"

                                                        PlayStation 5
                                                    
",78,"
tbd
","
Greylock Studio ",ActionShooterFirst-PersonArcade
Wayward Strand,"

                                                        PlayStation 5
                                                    
",78,"
tbd
","
Ghost Pattern ",AdventureGeneral
Outriders Worldslayer,"

                                                        Xbox Series X
                                                    
",78,"
tbd
","
People Can Fly ",ActionShooterThird-PersonArcade
Revita,"

                                                        Switch
                                                    
",78,"
tbd
","
BenStar ",ActionPlatformer2D
Capcom Arcade 2nd Stadium,"

                                                        Xbox One
                                                    
",78,"
tbd
","
Capcom ",MiscellaneousCompilation
Capcom Arcade 2nd Stadium,"

                                                        PlayStation 4
                                                    
",78,"
tbd
","
Capcom ",MiscellaneousCompilation
Andro Dunos 2,"

                                                        Switch
                                                    
",78,"
tbd
","
Picorinne Soft, Pixelheart ",ActionShooterShoot-'Em-UpHorizontal
Voice of Cards: The Beasts of Burden,"

                                                        PlayStation 4
                                                    
",78,"
tbd
","
A-lim ",StrategyTurn-BasedCard Battle
Islets,"

                                                        PC
                                                    
",77,"
tbd
","
Kyle Thompson ",ActionAction AdventurePlatformerOpen-WorldMetroidvania
Kombinera,"

                                                        Switch
                                                    
",77,"
tbd
","
Graphite Lab ",PuzzleActionPlatformer2D
