name,platform,metascore,userscore,developer,genre
Tony Hawk's Pro Skater 3,"

                                                        PlayStation 2
                                                    
",97,"
7.5
","
Neversoft Entertainment ",SportsAlternativeSkateboarding
Grand Theft Auto III,"

                                                        PlayStation 2
                                                    
",97,"
8.4
","
DMA Design ",Action AdventureModern
Halo: Combat Evolved,"
                                                        Xbox
                                    		    ",97,"
8.7
","
Bungie Software ",ActionShooterFirst-PersonSci-Fi
Metal Gear Solid 2: Sons of Liberty,"

                                                        PlayStation 2
                                                    
",96,"
8.8
","
KCEJ ",Action AdventureModern
Gran Turismo 3: A-Spec,"

                                                        PlayStation 2
                                                    
",95,"
8.4
","
Polyphony Digital ",DrivingRacingGT / Street
Tony Hawk's Pro Skater 2,"
                                                        Game Boy Advance
                                    		    ",95,"
6.8
","
Vicarious Visions ",SportsAlternativeSkateboarding
Devil May Cry,"

                                                        PlayStation 2
                                                    
",94,"
8.6
","
Capcom ",Action AdventureFantasy
Madden NFL 2002,"

                                                        PlayStation 2
                                                    
",94,"
7.3
","
EA Sports ",SportsTraditionalFootballSim
Mario Kart Super Circuit,"
                                                        Game Boy Advance
                                    		    ",93,"
7.7
","
Intelligent Systems ",DrivingRacingKart
Paper Mario,"
                                                        Nintendo 64
                                    		    ",93,"
9.0
","
Intelligent Systems ",Role-PlayingConsole-style RPG
NBA 2K2,"
                                                        Dreamcast
                                    		    ",93,"
7.4
","
Visual Concepts ",SportsTraditionalBasketballSim
SSX Tricky,"

                                                        PlayStation 2
                                                    
",92,"
8.9
","
EA Canada ",SportsAlternativeSnowboarding
NHL 2002,"

                                                        PlayStation 2
                                                    
",92,"
8.2
","
EA Sports ",SportsTraditionalIce HockeySim
Advance Wars,"
                                                        Game Boy Advance
                                    		    ",92,"
8.8
","
Intelligent Systems ",StrategyTurn-BasedModern
Super Smash Bros. Melee,"
                                                        GameCube
                                    		    ",92,"
9.1
","
HAL Labs ",ActionFighting3D
Final Fantasy X,"

                                                        PlayStation 2
                                                    
",92,"
8.9
","
SquareSoft ",Role-PlayingConsole-style RPG
Conker's Bad Fur Day,"
                                                        Nintendo 64
                                    		    ",92,"
9.0
","
Rare Ltd. ",ActionPlatformer3D
Klonoa 2: Lunatea's Veil,"

                                                        PlayStation 2
                                                    
",91,"
8.6
","
Namco ",ActionPlatformer3D
IL-2 Sturmovik,"

                                                        PC
                                                    
",91,"
8.6
","
1C, 1C Entertainment ",SimulationFlightWWIIWWIICombat
Twisted Metal: Black,"

                                                        PlayStation 2
                                                    
",91,"
8.4
","
Incognito Inc. ",DrivingCar Combat
Tony Hawk's Pro Skater 3,"
                                                        GameCube
                                    		    ",91,"
8.1
","
Neversoft Entertainment ",SportsAlternativeSkateboarding
Golden Sun,"
                                                        Game Boy Advance
                                    		    ",91,"
9.0
","
Camelot Software Planning ",Role-PlayingConsole-style RPG
Castlevania: Circle of the Moon,"
                                                        Game Boy Advance
                                    		    ",91,"
8.2
","
KCEK ",ActionPlatformer2D
ICO,"

                                                        PlayStation 2
                                                    
",90,"
8.8
","
SCE Japan Studio ",Action AdventureFantasy
Tennis 2K2,"
                                                        Dreamcast
                                    		    ",90,"
8.0
","
Hitmaker ",SportsTraditionalTennis
Black & White,"

                                                        PC
                                                    
",90,"
7.8
","
Lionhead Studios ",StrategyReal-TimeFantasyGeneralFantasy
Dance Dance Revolution,"
                                                        PlayStation
                                    		    ",90,"
8.4
","
Konami ",MiscellaneousRhythmDancing
Jak and Daxter: The Precursor Legacy,"

                                                        PlayStation 2
                                                    
",90,"
8.9
","
Naughty Dog ",ActionPlatformer3D
Star Wars Rogue Leader: Rogue Squadron II,"
                                                        GameCube
                                    		    ",90,"
8.6
","
Factor 5 ",SimulationSci-FiSmall Spaceship
NCAA Football 2002,"

                                                        PlayStation 2
                                                    
",90,"
8.4
","
EA Sports ",SportsTraditionalFootballSim
Unreal Tournament,"
                                                        Dreamcast
                                    		    ",90,"
8.5
","
Secret Level ",ActionShooterFirst-PersonSci-Fi
Sid Meier's Civilization III,"

                                                        PC
                                                    
",90,"
8.3
","
Firaxis Games ",StrategyTurn-BasedHistoricHistoric4X
NFL 2K2,"
                                                        Dreamcast
                                    		    ",90,"
7.2
","
Visual Concepts ",SportsTraditionalFootballSim
Madden NFL 2002,"
                                                        Xbox
                                    		    ",90,"
7.6
","
EA Sports ",SportsTraditionalFootballSim
Flight Simulator 2002,"

                                                        PC
                                                    
",90,"
7.3
","
Microsoft Game Studios ",SimulationFlightCivilian PlaneCivilian
Rayman 2 Revolution,"

                                                        PlayStation 2
                                                    
",90,"
8.7
","
Ubisoft ",ActionPlatformer3D
Pikmin,"
                                                        GameCube
                                    		    ",89,"
8.7
","
Nintendo ",StrategyReal-TimeFantasy
Madden NFL 2002,"
                                                        GameCube
                                    		    ",89,"
5.2
","
EA Sports ",SportsTraditionalFootballSim
Final Fantasy Chronicles,"
                                                        PlayStation
                                    		    ",89,"
8.8
","
TOSE ",Role-PlayingConsole-style RPG
Phantasy Star Online,"
                                                        Dreamcast
                                    		    ",89,"
8.4
","
Sonic Team ",Role-PlayingGeneral
NHL 2002,"
                                                        Xbox
                                    		    ",89,"
6.8
","
EA Sports ",SportsTraditionalIce HockeySim
Ace Combat 04: Shattered Skies,"

                                                        PlayStation 2
                                                    
",89,"
8.7
","
Namco ",SimulationFlightModern Jet
Max Payne,"

                                                        PC
                                                    
",89,"
9.1
","
Remedy Entertainment ",ActionShooterShooterThird-PersonModernModernArcade
Max Payne,"
                                                        Xbox
                                    		    ",89,"
8.2
","
neo Software ",ActionShooterThird-PersonModern
Sonic Adventure 2,"
                                                        Dreamcast
                                    		    ",89,"
8.5
","
Sonic Team ",ActionPlatformer3D
NASCAR Racing 4,"

                                                        PC
                                                    
",89,"
7.4
","
Papyrus ",DrivingRacingSimulationStock CarStock CarAutomobile
Silent Hill 2,"

                                                        PlayStation 2
                                                    
",89,"
8.4
","
KCET ",Action AdventureHorror
NBA Street,"

                                                        PlayStation 2
                                                    
",89,"
8.5
","
NuFX ",SportsTraditionalBasketballArcade
Shenmue II,"
                                                        Dreamcast
                                    		    ",88,"
9.0
","
Sega AM2 ",Action AdventureModern
Tribes 2,"

                                                        PC
                                                    
",88,"
8.3
","
Dynamix ",ActionShooterShooterFirst-PersonSci-FiSci-FiArcade
Red Faction,"

                                                        PlayStation 2
                                                    
",88,"
7.9
","
Volition Inc. ",ActionShooterFirst-PersonSci-Fi
Wario Land 4,"
                                                        Game Boy Advance
                                    		    ",88,"
8.7
","
Nintendo ",ActionPlatformer2D
Return to Castle Wolfenstein,"

                                                        PC
                                                    
",88,"
8.8
","
Gray Matter ",ActionShooterShooterFirst-PersonHistoricHistoricArcade
Madden NFL 2002,"
                                                        PlayStation
                                    		    ",88,"
7.3
","
EA Sports ",SportsTraditionalFootballSim
Dark Age of Camelot,"

                                                        PC
                                                    
",88,"
7.8
","
Mythic Entertainment ",Role-PlayingMassively Multiplayer OnlineMassively MultiplayerFantasyFantasy
Baldur's Gate II: Throne of Bhaal,"

                                                        PC
                                                    
",88,"
8.8
","
BioWare ",Role-PlayingPC-style RPGPC-style RPGWestern-Style
SSX Tricky,"
                                                        Xbox
                                    		    ",88,"
8.3
","
EA Sports Big ",SportsAlternativeSnowboarding
Baldur's Gate: Dark Alliance,"

                                                        PlayStation 2
                                                    
",87,"
8.3
","
Snowblind Studios ",Role-PlayingAction RPG
Europa Universalis II,"

                                                        PC
                                                    
",87,"
8.7
","
Paradox Development Studio ",StrategyReal-TimeHistoricGeneralHistoric
Tony Hawk's Pro Skater 3,"
                                                        PlayStation
                                    		    ",87,"
7.8
","
Shaba Games ",SportsAlternativeSkateboarding
Metropolis Street Racer,"
                                                        Dreamcast
                                    		    ",87,"
8.8
","
Bizarre Creations ",DrivingRacingGT / Street
Diablo II: Lord of Destruction,"

                                                        PC
                                                    
",87,"
9.0
","
Blizzard North ",Role-PlayingAction RPGAction RPG
Dead or Alive 3,"
                                                        Xbox
                                    		    ",87,"
8.6
","
Team Ninja ",ActionFighting3D
NHL 2002,"

                                                        PC
                                                    
",87,"
7.7
","
EA Sports ",SportsTraditionalTeamIce HockeySimSim
Bangai-O,"
                                                        Dreamcast
                                    		    ",87,"
8.4
","
Treasure ",ActionShooterScrolling
Kohan: Immortal Sovereigns,"

                                                        PC
                                                    
",87,"
8.4
","
TimeGate Studios ",StrategyReal-TimeGeneralGeneralCommand
Shogun: Total War Warlord Edition,"

                                                        PC
                                                    
",87,"
8.4
","
Creative Assembly ",StrategyTurn-BasedReal-TimeHistoricHistoricGeneral
Serious Sam: The First Encounter,"

                                                        PC
                                                    
",87,"
8.4
","
Croteam ",ActionShooterShooterFirst-PersonSci-FiArcade
Super Monkey Ball,"
                                                        GameCube
                                    		    ",87,"
8.0
","
Amusement Vision ",MiscellaneousParty
SSX Tricky,"
                                                        GameCube
                                    		    ",87,"
8.6
","
EA Sports Big ",SportsAlternativeSnowboarding
Half-Life,"

                                                        PlayStation 2
                                                    
",87,"
8.6
","
Gearbox Software ",ActionShooterFirst-PersonSci-Fi
Commandos 2: Men of Courage,"

                                                        PC
                                                    
",87,"
8.8
","
Pyro Studios ",StrategyReal-TimeMilitaryGeneralMilitary
Startopia,"

                                                        PC
                                                    
",86,"
8.6
","
Mucky Foot Productions ",StrategyGeneralGeneralManagementGovernment
Onimusha: Warlords,"

                                                        PlayStation 2
                                                    
",86,"
8.2
","
Capcom ",Action AdventureFantasy
Daytona USA,"
                                                        Dreamcast
                                    		    ",86,"
8.5
","
Amusement Vision ",DrivingRacingArcade
Command & Conquer: Red Alert 2 - Yuri's Revenge,"

                                                        PC
                                                    
",86,"
8.9
","
Westwood Studios ",StrategyReal-TimeSci-FiSci-FiCommand
Europa Universalis,"

                                                        PC
                                                    
",86,"
7.6
","
Paradox Development Studio ",StrategyGeneralGeneral
