name,platform,metascore,userscore,developer,genre
Disco Elysium: The Final Cut,"

                                                        PC
                                                    
",97,"
8.2
","
ZA/UM ",Role-PlayingGeneralWestern-Style
The House in Fata Morgana - Dreams of the Revenants Edition -,"

                                                        Switch
                                                    
",96,"
8.6
","
HuneX ",AdventureVisual Novel
Tetris Effect: Connected,"

                                                        Switch
                                                    
",94,"
8.1
","
Monstars Inc. ",PuzzleStacking
Hades,"

                                                        Xbox Series X
                                                    
",93,"
8.6
","
Supergiant Games ",Action AdventureLinear
Hades,"

                                                        PlayStation 5
                                                    
",93,"
8.6
","
Supergiant Games ",Action AdventureLinear
Forza Horizon 5,"

                                                        Xbox Series X
                                                    
",92,"
8.2
","
Playground Games ",RacingSimulationAutomobile
Final Fantasy XIV: Endwalker,"

                                                        PC
                                                    
",92,"
9.3
","
Square Enix ",Role-PlayingMassively Multiplayer
Forza Horizon 5,"

                                                        PC
                                                    
",91,"
6.7
","
Playground Games ",RacingSimulationAutomobile
Psychonauts 2,"

                                                        Xbox One
                                                    
",91,"
6.3
","
Double Fine Productions ",Beat-'Em-UpActionAction AdventurePlatformerOpen-World3D
Microsoft Flight Simulator,"

                                                        Xbox Series X
                                                    
",90,"
7.9
","
Asobo Studio ",SimulationFlightCivilian
Tony Hawk's Pro Skater 1 + 2,"

                                                        PlayStation 5
                                                    
",90,"
7.2
","
Vicarious Visions ",SportsIndividualSkate / Skateboard
Chicory: A Colorful Tale,"

                                                        PC
                                                    
",90,"
7.5
","
Greg Lobanov ",AdventureGeneral
Mass Effect Legendary Edition,"

                                                        Xbox One
                                                    
",90,"
6.8
","
BioWare ",MiscellaneousCompilation
Chicory: A Colorful Tale,"

                                                        Switch
                                                    
",90,"
7.3
","
Team Chicory ",AdventureGeneral
Final Fantasy XIV: Endwalker,"

                                                        PlayStation 5
                                                    
",90,"
9.0
","
Square Enix ",Role-PlayingMassively Multiplayer
It Takes Two,"

                                                        Xbox Series X
                                                    
",89,"
8.8
","
Hazelight ",Action AdventureLinear
Super Mario 3D World + Bowser's Fury,"

                                                        Switch
                                                    
",89,"
8.7
","
Nintendo ",ActionPlatformer3D
Psychonauts 2,"

                                                        PC
                                                    
",89,"
7.3
","
Double Fine Productions ",Beat-'Em-UpActionAction AdventurePlatformerOpen-World3D
