name,platform,metascore,userscore,developer,genre
Grand Theft Auto V,"

                                                        PlayStation 3
                                                    
",97,"
8.3
","
Rockstar North ",ModernAction AdventureModernOpen-World
Grand Theft Auto V,"

                                                        Xbox 360
                                                    
",97,"
8.3
","
Rockstar North ",ModernAction AdventureModernOpen-World
The Last of Us,"

                                                        PlayStation 3
                                                    
",95,"
9.2
","
Naughty Dog ",ModernAdventureGeneralAction AdventureGeneralModern
BioShock Infinite,"

                                                        PlayStation 3
                                                    
",94,"
8.5
","
Irrational Games ",ActionShooterShooterFirst-PersonSci-FiSci-FiArcade
BioShock Infinite,"

                                                        PC
                                                    
",94,"
8.6
","
Irrational Games ",ActionShooterShooterFirst-PersonSci-FiSci-FiArcade
BioShock Infinite,"

                                                        Xbox 360
                                                    
",93,"
8.5
","
Irrational Games ",ActionShooterShooterFirst-PersonSci-FiSci-FiArcade
Super Mario 3D World,"

                                                        Wii U
                                                    
",93,"
8.9
","
Nintendo ",Platformer3DActionPlatformer3D
Fire Emblem: Awakening,"

                                                        3DS
                                                    
",92,"
9.0
","
Intelligent Systems ",StrategyTurn-BasedFantasyFantasyTactics
Rayman Legends,"

                                                        Wii U
                                                    
",92,"
8.7
","
Ubisoft Montpellier ",ActionPlatformerPlatformer2D2D
Fez,"

                                                        PC
                                                    
",91,"
6.7
","
Polytron Corp. ",ActionPlatformerPlatformer2D2D
Rayman Legends,"

                                                        PlayStation 3
                                                    
",91,"
8.6
","
Ubisoft Montpellier ",ActionPlatformerPlatformer2D2D
The Legend of Zelda: A Link Between Worlds,"

                                                        3DS
                                                    
",91,"
9.0
","
Nintendo ",Action RPGRole-PlayingAction AdventureGeneralAction RPGOpen-World
flower,"

                                                        PlayStation 4
                                                    
",91,"
7.3
","
Bluepoint Games ",GeneralMiscellaneousGeneral
Spelunky,"

                                                        PC
                                                    
",90,"
7.4
","
Derek Yu, Mossmouth ",ActionPlatformerPlatformer2D2D
The Legend of Zelda: The Wind Waker HD,"

                                                        Wii U
                                                    
",90,"
9.0
","
Nintendo, HexaDrive ",Action AdventureFantasyFantasyOpen-World
Brothers: A Tale of Two Sons,"

                                                        PC
                                                    
",90,"
8.5
","
Starbreeze ",Action AdventureFantasyFantasyLinear
Dota 2,"

                                                        PC
                                                    
",90,"
6.5
","
Valve Software ",GeneralFantasyMOBAStrategyReal-TimeMOBA
Rayman Legends,"

                                                        Xbox 360
                                                    
",90,"
8.2
","
Ubisoft Montpellier ",ActionPlatformerPlatformer2D2D
Skylanders Swap Force,"

                                                        Wii U
                                                    
",89,"
6.3
","
Vicarious Visions ",ActionPlatformerPlatformer3D3D
Rocksmith 2014 Edition,"

                                                        PC
                                                    
",89,"
7.9
","
Ubisoft ",ActionMiscellaneousRhythmMusicMusic
Spelunky,"

                                                        PlayStation Vita
                                                    
",88,"
7.9
","
Mossmouth, BlitWorks ",ActionPlatformerPlatformer2D2D
Deus Ex: Human Revolution - Director's Cut,"

                                                        Wii U
                                                    
",88,"
8.5
","
Eidos Montreal, Straight Right ",Action AdventureSci-FiSci-FiGeneral
Crusader Kings II: The Old Gods,"

                                                        PC
                                                    
",88,"
8.7
","
Paradox Development Studio ",StrategyReal-TimeHistoricGeneralHistoric
FIFA 14,"

                                                        Xbox One
                                                    
",88,"
5.8
","
EA Canada ",SimSportsTraditionalTeamSoccerSim
Assassin's Creed IV: Black Flag,"

                                                        PlayStation 3
                                                    
",88,"
8.1
","
Ubisoft ",Action AdventureHistoricHistoricOpen-World
Star Wars Pinball: Balance of the Force,"

                                                        Xbox 360
                                                    
",88,"
6.1
","
Zen Studios ",ActionMiscellaneousParlorPinballPinball
XCOM: Enemy Within,"

                                                        Xbox 360
                                                    
",88,"
7.7
","
Firaxis Games ",Sci-FiStrategyTurn-BasedSci-FiGeneralTactics
Pokemon Y,"

                                                        3DS
                                                    
",88,"
7.5
","
Game Freak ",Role-PlayingConsole-style RPGConsole-style RPGTrainer
The Stanley Parable,"

                                                        PC
                                                    
",88,"
8.1
","
Davey Wreden ",ActionAdventureGeneralGeneral3DFirst-PersonModern
Guacamelee! Gold Edition,"

                                                        PC
                                                    
",88,"
7.5
","
DrinkBox Studios ",ActionPlatformerPlatformer2D2DMetroidvania
Animal Crossing: New Leaf,"

                                                        3DS
                                                    
",88,"
8.7
","
Nintendo ",SimulationMiscellaneousVirtual LifeVirtualVirtual Life
Rocksmith 2014 Edition,"

                                                        Xbox 360
                                                    
",87,"
7.5
","
Ubisoft ",ActionMiscellaneousRhythmMusicMusic
Pokemon X,"

                                                        3DS
                                                    
",87,"
7.5
","
Game Freak ",Role-PlayingConsole-style RPGConsole-style RPGTrainer
Guacamelee!,"

                                                        PlayStation Vita
                                                    
",87,"
8.3
","
DrinkBox Studios ",ActionPlatformerPlatformer2D2DMetroidvania
