name,platform,metascore,userscore,developer,genre
Metroid Prime,"
                                                        GameCube
                                    		    ",97,"
8.9
","
Retro Studios ",ActionShooterFirst-PersonSci-Fi
Grand Theft Auto: Vice City,"

                                                        PlayStation 2
                                                    
",95,"
8.8
","
Rockstar North ",Action AdventureModern
The Legend of Zelda: A Link to the Past,"
                                                        Game Boy Advance
                                    		    ",95,"
9.0
","
Capcom ",Action AdventureFantasy
Madden NFL 2003,"

                                                        PlayStation 2
                                                    
",95,"
7.7
","
EA Sports ",SportsTraditionalFootballSim
Tony Hawk's Pro Skater 4,"

                                                        PlayStation 2
                                                    
",94,"
8.3
","
Neversoft Entertainment ",SportsAlternativeSkateboarding
Virtua Fighter 4,"

                                                        PlayStation 2
                                                    
",94,"
8.1
","
Sega AM2 ",ActionFighting3D
Tony Hawk's Pro Skater 3,"
                                                        Xbox
                                    		    ",93,"
7.2
","
Neversoft Entertainment ",SportsAlternativeSkateboarding
Tom Clancy's Splinter Cell,"
                                                        Xbox
                                    		    ",93,"
8.6
","
Ubisoft Montreal ",Action AdventureModern
Grand Theft Auto III,"

                                                        PC
                                                    
",93,"
8.1
","
DMA Design, Rockstar North ",Action AdventureModernModernOpen-World
NFL 2K3,"

                                                        PlayStation 2
                                                    
",93,"
7.2
","
Visual Concepts ",SportsTraditionalFootballSim
NFL 2K3,"
                                                        GameCube
                                    		    ",92,"
6.5
","
Visual Concepts ",SportsTraditionalFootballSim
Eternal Darkness: Sanity's Requiem,"
                                                        GameCube
                                    		    ",92,"
8.8
","
Silicon Knights ",Action AdventureHorror
Warcraft III: Reign of Chaos,"

                                                        PC
                                                    
",92,"
9.2
","
Blizzard Entertainment ",StrategyReal-TimeFantasyGeneralFantasy
Madden NFL 2003,"
                                                        GameCube
                                    		    ",92,"
7.2
","
EA Sports ",SportsTraditionalFootballSim
Super Mario World: Super Mario Advance 2,"
                                                        Game Boy Advance
                                    		    ",92,"
9.0
","
Nintendo ",ActionPlatformer2D
Madden NFL 2003,"
                                                        Xbox
                                    		    ",92,"
7.1
","
EA Tiburon ",SportsTraditionalFootballSim
Super Mario Sunshine,"
                                                        GameCube
                                    		    ",92,"
8.4
","
Nintendo ",ActionPlatformer3D
Metroid Fusion,"
                                                        Game Boy Advance
                                    		    ",92,"
9.0
","
Nintendo ",Action AdventureSci-Fi
Tiger Woods PGA Tour 2003,"

                                                        PC
                                                    
",92,"
5.0
","
Headgate ",SportsTraditionalIndividualGolfSimSim
Medal of Honor: Allied Assault,"

                                                        PC
                                                    
",91,"
8.5
","
2015 ",ActionShooterShooterFirst-PersonHistoricHistoricArcade
Tony Hawk's Pro Skater 4,"
                                                        GameCube
                                    		    ",91,"
8.1
","
Neversoft Entertainment ",SportsAlternativeSkateboarding
Resident Evil (2002),"
                                                        GameCube
                                    		    ",91,"
9.6
","
Capcom ",Action AdventureHorror
NCAA Football 2003,"

                                                        PlayStation 2
                                                    
",91,"
8.3
","
EA Sports ",SportsTraditionalFootballSim
Yoshi's Island: Super Mario Advance 3,"
                                                        Game Boy Advance
                                    		    ",91,"
8.8
","
Nintendo ",ActionPlatformer2D
NCAA Football 2003,"
                                                        GameCube
                                    		    ",91,"
6.0
","
EA Sports ",SportsTraditionalFootballSim
Neverwinter Nights,"

                                                        PC
                                                    
",91,"
8.2
","
BioWare ",Role-PlayingPC-style RPGPC-style RPGWestern-Style
No One Lives Forever 2: A Spy in H.A.R.M.'s Way,"

                                                        PC
                                                    
",91,"
8.7
","
Monolith Productions ",ActionAction AdventureShooterGeneralShooterFirst-PersonModernModernArcade
NCAA Football 2003,"
                                                        Xbox
                                    		    ",90,"
7.3
","
EA Sports ",SportsTraditionalFootballSim
Tony Hawk's Pro Skater 3,"
                                                        Game Boy Advance
                                    		    ",90,"
6.2
","
Vicarious Visions ",SportsAlternativeSkateboarding
Tony Hawk's Pro Skater 3,"

                                                        PC
                                                    
",90,"
8.3
","
Gearbox Software ",SportsAlternativeIndividualSkateboardingSkateboardingSkate / Skateboard
NBA 2K2,"
                                                        GameCube
                                    		    ",90,"
6.0
","
Visual Concepts ",SportsTraditionalBasketballSim
Tony Hawk's Pro Skater 4,"
                                                        Xbox
                                    		    ",90,"
7.7
","
Neversoft Entertainment ",SportsAlternativeSkateboarding
TimeSplitters 2,"

                                                        PlayStation 2
                                                    
",90,"
8.7
","
Free Radical Design ",ActionShooterFirst-PersonSci-Fi
Tiger Woods PGA Tour 2003,"
                                                        GameCube
                                    		    ",90,"
6.7
","
EA Sports ",SportsTraditionalGolfSim
Freedom Force,"

                                                        PC
                                                    
",90,"
7.8
","
Irrational Games ",Role-PlayingAction RPGAction RPG
NBA 2K2,"
                                                        Xbox
                                    		    ",90,"
7.6
","
Visual Concepts ",SportsTraditionalBasketballSim
Star Wars Jedi Knight II: Jedi Outcast,"

                                                        PC
                                                    
",89,"
8.7
","
Raven Software ",ActionAction AdventureShooterShooterLinearFirst-PersonSci-FiSci-FiArcade
Age of Mythology,"

                                                        PC
                                                    
",89,"
8.9
","
Ensemble Studios ",StrategyReal-TimeFantasyGeneralFantasy
The Elder Scrolls III: Morrowind,"

                                                        PC
                                                    
",89,"
8.8
","
Bethesda Softworks ",Role-PlayingFirst-PersonFirst-PersonWestern-Style
NHL 2K3,"

                                                        PlayStation 2
                                                    
",89,"
7.8
","
Treyarch ",SportsTraditionalIce HockeySim
NHL 2K3,"
                                                        Xbox
                                    		    ",89,"
6.5
","
Treyarch ",SportsTraditionalIce HockeySim
NBA 2K3,"

                                                        PlayStation 2
                                                    
",89,"
7.8
","
Visual Concepts ",SportsTraditionalBasketballSim
NASCAR Racing 2002 Season,"

                                                        PC
                                                    
",89,"
5.6
","
Papyrus ",DrivingRacingSimulationStock CarStock CarAutomobile
Need for Speed: Hot Pursuit 2,"

                                                        PlayStation 2
                                                    
",89,"
8.5
","
Black Box ",DrivingRacingArcade
Combat Mission: Barbarossa to Berlin,"

                                                        PC
                                                    
",89,"
7.4
","
Big Time Software ",StrategyReal-TimeWargameReal-TimeGeneral
Battlefield 1942,"

                                                        PC
                                                    
",89,"
8.5
","
Digital Illusions ",ActionShooterShooterFirst-PersonHistoricHistoricArcade
Madden NFL 2003,"

                                                        PC
                                                    
",89,"
7.1
","
EA Sports ",SportsTraditionalTeamFootballSimSim
NBA 2K2,"

                                                        PlayStation 2
                                                    
",89,"
8.0
","
Visual Concepts ",SportsTraditionalBasketballSim
NHL 2K3,"
                                                        GameCube
                                    		    ",89,"
6.2
","
Treyarch ",SportsTraditionalIce HockeySim
Medieval: Total War,"

                                                        PC
                                                    
",88,"
8.6
","
Creative Assembly ",StrategyReal-TimeHistoricGeneralHistoric
Mafia,"

                                                        PC
                                                    
",88,"
9.1
","
Illusion Softworks ",Action AdventureHistoricHistoricOpen-World
Medal of Honor Frontline,"

                                                        PlayStation 2
                                                    
",88,"
8.4
","
EA LA ",ActionShooterFirst-PersonHistoric
Tiger Woods PGA Tour 2003,"
                                                        Xbox
                                    		    ",88,"
6.9
","
EA Sports ",SportsTraditionalGolfSim
Tactics Ogre: The Knight of Lodis,"
                                                        Game Boy Advance
                                    		    ",88,"
8.6
","
Quest ",StrategyTurn-BasedFantasy
FIFA Soccer 2003,"
                                                        Xbox
                                    		    ",88,"
7.8
","
EA Canada ",SportsTraditionalSoccerSim
Ratchet & Clank,"

                                                        PlayStation 2
                                                    
",88,"
8.8
","
Insomniac Games ",ActionPlatformer3D
Tiger Woods PGA Tour 2003,"

                                                        PlayStation 2
                                                    
",88,"
8.4
","
EA Sports ",SportsTraditionalGolfSim
TimeSplitters 2,"
                                                        GameCube
                                    		    ",88,"
8.5
","
Free Radical Design ",ActionShooterFirst-PersonSci-Fi
JSRF: Jet Set Radio Future,"
                                                        Xbox
                                    		    ",88,"
8.4
","
Smilebit ",ActionPlatformer3D
NBA Street,"
                                                        GameCube
                                    		    ",88,"
5.3
","
EA Sports ",SportsTraditionalBasketballArcade
FIFA Soccer 2003,"

                                                        PlayStation 2
                                                    
",88,"
6.6
","
EA Canada ",SportsTraditionalSoccerSim
Aggressive Inline,"
                                                        GameCube
                                    		    ",88,"
7.5
","
Z-Axis, Ltd. ",SportsAlternativeSkating
F1 2002,"

                                                        PC
                                                    
",88,"
7.6
","
EA Sports ",DrivingRacingSimulationFormula OneFormula OneAutomobile
TimeSplitters 2,"
                                                        Xbox
                                    		    ",88,"
7.5
","
Free Radical Design ",ActionShooterFirst-PersonSci-Fi
Super Monkey Ball 2,"
                                                        GameCube
                                    		    ",87,"
8.3
","
Amusement Vision ",MiscellaneousParty
The Elder Scrolls III: Morrowind,"
                                                        Xbox
                                    		    ",87,"
8.4
","
Bethesda Softworks ",Role-PlayingFirst-Person
Castlevania: Harmony of Dissonance,"
                                                        Game Boy Advance
                                    		    ",87,"
7.9
","
KCET ",ActionPlatformer2D
Hitman 2: Silent Assassin,"

                                                        PC
                                                    
",87,"
8.2
","
Io Interactive ",Action AdventureModernGeneralModern
Rallisport Challenge,"
                                                        Xbox
                                    		    ",87,"
7.6
","
Digital Illusions ",DrivingRacingRally / Offroad
MechAssault,"
                                                        Xbox
                                    		    ",87,"
8.0
","
Day 1 Studios ",SimulationSci-FiMech
NFL 2K2,"
                                                        Xbox
                                    		    ",87,"
7.2
","
Visual Concepts ",SportsTraditionalFootballSim
Animal Crossing,"
                                                        GameCube
                                    		    ",87,"
8.8
","
Nintendo ",MiscellaneousVirtual Life
Metal Gear Solid 2: Substance,"
                                                        Xbox
                                    		    ",87,"
8.3
","
KCEJ ",Action AdventureModern
NBA 2K3,"
                                                        Xbox
                                    		    ",87,"
7.9
","
Visual Concepts ",SportsTraditionalBasketballSim
Out of the Park Baseball 4,"

                                                        PC
                                                    
",87,"
6.9
","
Out Of The Park Developments ",SportsTraditionalBaseballSim
Sonic Advance,"
                                                        Game Boy Advance
                                    		    ",87,"
7.8
","
Sonic Team ",ActionPlatformer2D
FIFA Soccer 2003,"
                                                        GameCube
                                    		    ",86,"
6.9
","
EA Canada ",SportsTraditionalSoccerSim
Suikoden III,"

                                                        PlayStation 2
                                                    
",86,"
8.8
","
KCET ",Role-PlayingConsole-style RPG
Dungeon Siege,"

                                                        PC
                                                    
",86,"
7.8
","
Gas Powered Games ",Role-PlayingAction RPGAction RPG
Sly Cooper and the Thievius Raccoonus,"

                                                        PlayStation 2
                                                    
",86,"
8.6
","
Sucker Punch ",ActionPlatformer3D
